STATION,STATION_NAME,DATE,EMXT,EMNT
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19860501,91.9,34.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19860601,91.0,43.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19860701,93.9,51.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19860801,93.0,42.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19860901,93.0,42.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19861001,90.0,30.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19861101,75.9,16.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19861201,61.0,14.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19870101,61.0,1.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19870201,57.9,10.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19870301,75.0,19.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19870401,82.9,26.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19870501,93.9,37.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19870601,95.0,46.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19870701,99.0,55.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19870801,98.1,50.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19870901,88.0,43.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19871001,80.1,27.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19871101,78.1,10.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19871201,64.9,16.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19880101,55.9,1.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19880201,71.1,8.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19880301,80.1,19.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19880401,78.1,32.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19880501,104.0,37.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19880601,100.9,43.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19880701,102.9,46.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19880801,102.9,51.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19880901,91.9,42.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19881001,80.1,21.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19881101,71.1,21.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19881201,69.1,5.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19890101,63.0,12.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19890201,44.1,-9999
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19890301,84.9,23.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19890401,81.0,28.0
